"Abobrinha, italiana, cozida",15,1.1,0.2,0,3,1.6,0.2,1,2.1,17,100
"Abobrinha, italiana, crua",19,1.1,0.1,0,4.3,1.4,0.2,0,6.9,15,100
"Abobrinha, italiana, refogada",24,1.1,0.8,0,4.2,1.4,0.4,2,7.5,21,100
"Acelga, crua",21,1.4,0.1,0,4.6,1.1,0.3,1,22.6,43,100
"Agrião, cru",17,2.7,0.2,0,2.3,2.1,3.1,7,60.1,133,100
"Aipo, cru",19,0.8,0.1,0,4.3,1,0.7,10,5.9,65,100
"Alface, americana, crua",9,0.6,0.1,0,1.7,1,0.3,7,11,14,100
"Alface, crespa, crua",11,1.3,0.2,0,1.7,1.8,0.4,3,15.6,38,100
"Alface, lisa, crua",14,1.7,0.1,0,2.4,2.3,0.6,4,21.4,28,100
"Alface, roxa, crua",13,0.9,0.2,0,2.5,2,2.5,7,13.5,34,100
"Alfavaca, crua",29,2.7,0.5,0,5.2,4.1,1.3,5,0,258,100
"Alho-poró, cru",32,1.4,0.1,0,6.9,2.5,0.6,2,14.1,34,100
"Almeirão, cru",18,1.8,0.2,0,3.3,2.6,0.7,2,1.7,19,100
"Berinjela, cozida",19,0.7,0.1,0,4.5,2.5,0.2,1,0,11,100
"Chuchu, cozido",19,0.4,0.1,0,4.8,1,0.1,2,5.6,8,100
"Espinafre, Nova Zelândia, cru",16,2,0.2,0,2.6,2.1,0.4,17,2.4,98,100
"Maxixe, cru",14,1.4,0.1,0,2.7,2.2,0.4,11,9.6,21,100
"Palmito, juçara, em conserva",23,1.8,0.4,0,4.3,3.2,0.3,514,2,58,100
"Pepino, cru",10,0.9,0.4,0,2,1.1,0.1,0,5,10,100
"Pimentão, amarelo, cru",28,1.2,0.4,0,6,1.9,0.4,0,201.4,10,100
"Pimentão, verde, cru",21,1.1,0.2,0,4.9,2.6,0.4,0,100.2,9,100
"Pimentão, vermelho, cru",23,1,0.1,0,5.5,1.6,0.3,0,158.2,6,100
"Rabanete, cru",14,1.4,0.1,0,2.7,2.2,0.4,11,9.6,21,100
"Repolho, branco, cru",17,0.9,0.1,0,3.9,1.9,0.2,4,18.7,35,100
"Repolho, roxo, cru",31,1.9,0.1,0,7.2,2,0.5,2,43.2,44,100
"Rúcula, crua",13,1.8,0.1,0,2.2,1.7,0.9,9,46.3,117,100
"Tomate, salada",21,0.8,0.1,0,5.1,2.3,0.3,5,12.8,7,100
