"Carne, bovina, cupim, assado",330,28.6,23,91,0,0,2.7,72,0,8,100
"Carne, bovina, fígado, grelhado",225,29.9,9,601,4.2,0,5.8,82,0,6,100
"Carne, bovina, filé mingnon, sem gordura, grelhado",220,32.8,8.8,103,0,0,2.9,58,0,4,100
"Carne, bovina, flanco, sem gordura, cozido",196,29.4,7.8,62,0,0,2.8,42,0,4,100
"Carne, bovina, fraldinha, com gordura, cozida",338,24.2,26,65,0,0,2,39,0,3,100
"Carne, bovina, lagarto, cozido",222,32.9,9.1,56,0,0,1.9,48,0,4,100
"Carne, bovina, língua, cozida",315,21.4,24.8,105,0,0,2.1,59,0,6,100
"Carne, bovina, maminha, grelhada",153,30.7,2.4,88,0,0,2.4,58,0,4,100
"Carne, bovina, miolo de alcatra, sem gordura, grelhado",241,31.9,11.6,92,0,0,3.2,52,0,5,100
"Carne, bovina, músculo, sem gordura, cozido",194,31.2,6.7,56,0,0,2.4,62,0,5,100
"Carne, bovina, paleta, sem gordura, cozida",194,29.7,7.4,56,0,0,2.2,58,0,6,100
"Carne, bovina, patinho, sem gordura, grelhado",219,35.9,7.3,126,0,0,3,60,0,5,100
"Carne, bovina, peito, sem gordura, cozido",338,22.2,27,100,0,0,1.6,56,0,4,100
"Carne, bovina, picanha, com gordura, grelhada",289,26.4,19.5,92,0,0,3.2,60,0,4,100
"Carne, bovina, picanha, sem gordura, grelhada",238,31.9,11.3,100,0,0,3.6,61,0,4,100
"Carne, bovina, seca, cozida",313,26.9,21.9,100,0,0,1.9,1943,0,13,100
"Coxinha de frango, frita",283,9.6,11.8,15,34.5,0,1.3,532,0,18,100
"Croquete, de carne, frito",347,16.9,22.7,38,18.1,0,2.3,916,0,18,100
"Empada de frango, pré-cozida, assada",358,6.9,15.6,23,47.5,0,1.2,525,0,16,100
"Empada, de frango, pré-cozida",377,7.3,22.9,23,35.5,0,0.7,771,0,14,100
"Frango, caipira, inteiro, com pele, cozido",243,23.9,15.6,110,0,0,1.7,56,0,17,100
"Frango, caipira, inteiro, sem pele, cozido",196,29.6,7.7,106,0,0,2.1,53,0,66,100
"Frango, coração, grelhado",207,22.4,12.1,280,0.6,0,6.5,128,0,8,100
